avtor;
id;ime
1;Feri Lainšèek
2;Ivan Cankar
3;Drago Janèar
4;Svetlana Makaroviè
5;France Bevk
6;Fran Levstik
7;Boris A. Novak
8;Janja Vidmar
9;Ciril Kosmaè 
10;Niko Grafenauer
11;Anton Ingoliè 
12;Ivan Sivec 
13;Janez Menart
14;Ela Peroci 
15;Bogdan Novak
16;Kajetan Koviè
17;Fran Saleški Finžgar
18;Oton Županèiè
19;Fran Milèinski
20;Desa Muck 
21;Urška Fartelj
22;Maja Haderlap 
23;Samo Rugelj 
24;Josip Murn 
25;Dragotin Kette
26;Tadej Golob
27;Mojca Širok 
28;Bronja Žakelj
29;Zvezdana Majhen
30;Tone Seliškar 
31;Tone Pavèek 
32;Marko Juhart 
33;Nejc Zaplotnik
34;Vid Peèjak 
35;Urška Božiè Križaj 
36;Ana Kersnik Žvab 
