knjiga;;;;
id;naslov;opis;id_avtorja;id_zalozbe
1;Loèil bom peno od valov;Roman, zgrajen iz 3 novel, dogajanje med prvo svetovno vojno, ljubezenska zgodba med Elico in Ivanom. ;1;6
2;Na Klancu ;Roman, kjer se Francka spomija žalostnih dogodkov iz otroštva, njena življenska zgodba in spomin na tek za vozom.;2;3
3;Hlapec Jernej in njegova pravica;Povest, hlapca Jerneja, delavca na domaèiji, kjer ga naženjo, ta se odpravi iskat pravico.;2;10
4;Veliki briljantni valèek;Drama, zgrajena iz 3 dejanj, Glavna oseba Simon, življenje mu gre samo navzdol, na koncu ples kjer novinec predstavi za Chopina,odigra najboljšo izvedb Briljantnega valèka.;3;1
5;To noè sem jo videl ;Roman, pripovedovanje spomine dogodkov povezanih z glavno junakinjo Veroniko,njeno življenje skozi predvojni in povojni èas na Slovenskih tleh.;3;7
6;Sapramiška;Pravljica, o miški z imenom Sapra, o njenih dogodivšèinah s tremi lešniki.;4;1
7;Kresna noè ;Pesniška zbirka, sestavljena iz 13 tridelnih pesmi, tematika iz narave,kmeèko okolje in obmorski svet.;4;1
8;Lukec in njegov škorec;Povest, o glavnem junaku Lukecu, ki gre od doma in se potem spet vrne na poti ga vedno spremlja njegov škorec;5;1
9;Peter Klepec ;Povest, kjer je Peter Klepec glavni junak , domaèin nenavadne moèi, ki je iz zgornjekoplske doline pregnal Turke.;5;1
10;Mali upornik ;Roman, kjer 12- letni fantiè pripoveduje, zgodbo iz bojišèa , medsebojne odnose ter vpliv vojne nanje.;5;1
11;Kdo je napravil Vidku srajèico;Pravljica, glavnijunak Vid, ki je prijatelj z Pajkom in ptièkom, ki mu sešijeta srajèico. ;6;1
12;Martin Krpan z vrha ;Pripovedka, o glavnem junaku Martinu Krpanu, ki tihotapi sol, skozi pripoved naredi dobra dejanja, zaradi èesar sme uvaati sol.;6;1
13;Popotovanje iz Litije do Èateža; Kratka proza,potopisni spis, opisuje potovanje med Litijo in Èatežem.;6;1
14;Stotisoènoga in druge igre;Drama,  kjer so zbrane njegove igre.;7;1
15;Debeluška;Roman, glavna junakinja romana je Urša, ki se sreèuje z motnjami prehranjevanja. ;8;1
16;Princeska z napako ;Roman, kjer je glavna junakinja Fatima, begunka, opisuje njeno življenje v šoli, družino in njene stiske.;8;2
17;Èudežni vitez ;Pripoved, kjer osnovnšolec Bor obišèe Ljubljanski grad, kjer sreèa viteza, od takrat pripoved Borvega življenja in viteza.;8;11
18;Stvor;Roman, najstniška grozljivka, kjer prijateljice raziskujejo magiène sile.;8;11
19;Fantje iz gline;Roman, ki obravnava problem drugaène spolne usmerjenosti, glavna junaka Ajk in Mali ki sta si popolnoma razlièna .;8;1
20;Tantadruj ;Novela, iz ljudske pripovedi, ki jo je mati pripovedovala otroku, glavni junak norèek Tantadruj, ki želi umreti.  ;9;10
21;Pomladni dan ;Roman, govori o pripovedovalcu, ki se po vojni vrne v svoj rojstni kraj in se tam spominja svojega otroštva in mladosti.;9;1
22;Pedenjped;Pesniška zbirka, pesmi kjer je na humoren in zanimiv naèin predstavljen osrednji lik  Pedenjped. ;10;1
23;Zmajèek razgrajaèek ;Pesem, ki opisuje vragolije malega zmaja ki jih poène skozi cel dan. ;10;1
24;Majhnica ;Zbirka pravljic, razdeljena na 5 poglavij, vsaka nekaj drugaènega zato posebna.;10;1
25;Èrni labirinti;Roman, o slovenskih izseljencih v Franciji, ;11;1
26;Lastovka, èez ocean ;Roman, kjer se na poltovorno ladjo imenovano Lastovka, vkrca 12 potnikov, ki se vraèajo iz Amerike v domovino.;11;12
27;Delovni dan sestre Marije;Roman, o glavnem liku medicinski sestri Marji obiskuje bolnike na domu, njena zgodba o možu Lenartu, pacientih in ljubezni.;11;13
28;Gimnazijka ;Roman, o glavni junakinji Adi, zgodba o njeni srednješolski noseènosti, ki jo skriva pred starši, zato potuje.;11;1
29;Zadnji mega žur;Prozno besedilo, o glavnem junaku Mateju, srednješolcu, ki zaide v težave in jih rešuje z drogami. ;12;2
30;Kapitanov kljuè;Roman, ki govori o ladji Rex in njenem zakladu. V knjigi glavna junaka Bruno in Tim odkrivata zaklad.;12;1
31;Zelena kri ;Roman o nogometnem dvoboji med Olimpijo in Mariborom,  za pokal UEFA. O spletkah za igro.;12;1
32;Poèitnice na Marsu ;Proza o dveh šolarjih Mihi in Rini, ki želita sestaviti vesoljsko ladjo, o pravi vesoljski ladji in vesoljcih.;12;1
33;Bela pravljica ;Slovenka pesem,  navdihnjna izsrednjega veka, balada.;13;10
34;Muca copatarica ;Pravljica, ki govori o zgodbi, ko otroci ne najdejo svojih copat, ki jih ni ker jih niso pospravili.;14;1
35;Moj dežnik je lahko balon ;Pravljica, o deklici Jelki in rumenem dežniku  in njenem življenju;;1
36;Hiša iz kock ;Pravljica, govori o deklici Jelka, ki stanuje v hiši iz kock, pripoveduje o raziskuvanju sob in življenju.;14;1
37;Za lahko noè ;Zbirka ravljic, za lahko noè, obsega 42 razliènih pravljic. ;14;1
38;Zaljubljeni vampir;Pripoved, glavna junaka Tina in Luka sta v gozdu Zlodejev Brošt, kjer straši, njuno dogajanja.;14;1
39;Niki ;Psihološki roman, prvoosebna pripoved o toko misli pomešanimi z mladostnimi spomini.;15;1
40;Ninina pesnika dva;Ljubezenski roman, ki govori o življeju gimnazijke in dvema fantoma.;15;1
41;Maèek Muri ;Pravljica o èrnem maèku iz maèjega mesta. ;15;1
42;Moj prijatelj Piki Jakob ;Pravljica o medvedu Piki Jakobu, ki obiskuje medvedjo šolo.;16;1
43;Zmaj Direndaj ;Pravljica o zmaju in njegovih dogodivšèinah v mestu .;16;1
44;Pajacek in punèka;Pravljica o punèki,ki je živela èisto sama in šivala pajacke. ;16;1
45;Pod svobodnim soncem ;Roman, kjer je osrednja oseba Iztok, ki zaène bitko med Slovani in Bizantinci.;16;1
