zalozba;;
id;ime;kraj
1;Mladinska knjiga;Ljubljana
2;DZS ;Ljubljana
3;Slovenska matica;Ljubljana
4;Celjska mohorjeva družba;Celje
5;Uèila International;Tržiè
6;Študentska založba;Ljubljana
7;Modrijan;Ljubljana
8;Sanje;Ljubljana
9;Zavod Litera ;Ljubljana
10;Cankarjeva založba;Ljubljana
11;Založba Karantanija;Ljubljana
12;Založba Obzorja ;Maribor
13;Prešernova družba ;Ljubljana
14;Katoliška bukvarna;Ljubljana
15;Založništvo L. Schwentne;Lljubljana 
16;Amalietti & Amalietti,;Ljubljana
17; Založba Goga;Novo mesto
18; Založba Beletrina;Ljubljana
19;Založba Pivec ;Maribor
20;Založba Morfem ;Ljubljana
21;Založba Miš;Domžale
22;Založba Èmrlj ;Mavèièe 
